locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPBGNNHA_00068	gene	726				
EPBGNNHA_00068	CDS	726				hypothetical protein
EPBGNNHA_00069	gene	1593				
EPBGNNHA_00069	CDS	1593				hypothetical protein
EPBGNNHA_00070	gene	1245				
EPBGNNHA_00070	CDS	1245				hypothetical protein
EPBGNNHA_00071	gene	3150				
EPBGNNHA_00071	CDS	3150				hypothetical protein
EPBGNNHA_00072	gene	1446				
EPBGNNHA_00072	CDS	1446				IS1182 family transposase ISEfa7
EPBGNNHA_00073	gene	666				
EPBGNNHA_00073	CDS	666				hypothetical protein
EPBGNNHA_00074	gene	2037				
EPBGNNHA_00074	CDS	2037				hypothetical protein
EPBGNNHA_00075	gene	639	yknY			
EPBGNNHA_00075	CDS	639	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
EPBGNNHA_00076	gene	429				
EPBGNNHA_00076	CDS	429				hypothetical protein
EPBGNNHA_00077	gene	912	prsA_1			
EPBGNNHA_00077	CDS	912	prsA_1	5.2.1.8		Foldase protein PrsA
EPBGNNHA_00078	gene	438				
EPBGNNHA_00078	CDS	438				hypothetical protein
EPBGNNHA_00079	gene	885				
EPBGNNHA_00079	CDS	885		2.7.1.-	COG1597	Putative lipid kinase
EPBGNNHA_00080	gene	3168				
EPBGNNHA_00080	CDS	3168				hypothetical protein
EPBGNNHA_00081	gene	546				
EPBGNNHA_00081	CDS	546				hypothetical protein
EPBGNNHA_00082	gene	456				
EPBGNNHA_00082	CDS	456				hypothetical protein
EPBGNNHA_00083	gene	759				
EPBGNNHA_00083	CDS	759				hypothetical protein
EPBGNNHA_00084	gene	741				
EPBGNNHA_00084	CDS	741				hypothetical protein
EPBGNNHA_00085	gene	1254				
EPBGNNHA_00085	CDS	1254				hypothetical protein
EPBGNNHA_00086	gene	228				
EPBGNNHA_00086	CDS	228				hypothetical protein
EPBGNNHA_00087	gene	327				
EPBGNNHA_00087	CDS	327				hypothetical protein
EPBGNNHA_00088	gene	714	strA			
EPBGNNHA_00088	CDS	714	strA	3.4.22.-	COG3764	Sortase A
EPBGNNHA_00089	gene	852	licT_1			
EPBGNNHA_00089	CDS	852	licT_1		COG3711	Transcription antiterminator LicT
EPBGNNHA_00090	gene	150				
EPBGNNHA_00090	CDS	150				hypothetical protein
EPBGNNHA_00091	gene	1866	bglF_1			
EPBGNNHA_00091	CDS	1866	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
EPBGNNHA_00092	gene	1371	bglH_1			
EPBGNNHA_00092	CDS	1371	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
EPBGNNHA_00093	gene	702				
EPBGNNHA_00093	CDS	702				hypothetical protein
EPBGNNHA_00094	gene	489	fruA_1			
EPBGNNHA_00094	CDS	489	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
EPBGNNHA_00095	gene	111				
EPBGNNHA_00095	CDS	111				hypothetical protein
EPBGNNHA_00096	gene	576	yvdD			
EPBGNNHA_00096	CDS	576	yvdD		COG1611	LOG family protein YvdD
EPBGNNHA_00097	gene	441				
EPBGNNHA_00097	CDS	441				hypothetical protein
EPBGNNHA_00098	gene	702				
EPBGNNHA_00098	CDS	702		2.7.1.113	COG1428	Deoxyguanosine kinase
EPBGNNHA_00099	gene	174				
EPBGNNHA_00099	CDS	174				hypothetical protein
EPBGNNHA_00100	gene	426				
EPBGNNHA_00100	CDS	426				hypothetical protein
EPBGNNHA_00101	gene	972	rbsR			
EPBGNNHA_00101	CDS	972	rbsR		COG1609	Ribose operon repressor
EPBGNNHA_00102	gene	1398	gmuD_1			
EPBGNNHA_00102	CDS	1398	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
EPBGNNHA_00103	gene	624				
EPBGNNHA_00103	CDS	624				hypothetical protein
EPBGNNHA_00104	gene	2094	ltaS1_1			
EPBGNNHA_00104	CDS	2094	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
EPBGNNHA_00105	gene	867				
EPBGNNHA_00105	CDS	867				hypothetical protein
EPBGNNHA_00106	gene	438	ndk			
EPBGNNHA_00106	CDS	438	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
EPBGNNHA_00107	gene	2649	mgtA			
EPBGNNHA_00107	CDS	2649	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
EPBGNNHA_00108	gene	672				
EPBGNNHA_00108	CDS	672		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
EPBGNNHA_00109	gene	600				
EPBGNNHA_00109	CDS	600				hypothetical protein
EPBGNNHA_00110	gene	1074	metN			
EPBGNNHA_00110	CDS	1074	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
EPBGNNHA_00111	gene	681	metP_2			
EPBGNNHA_00111	CDS	681	metP_2		COG2011	Methionine import system permease protein MetP
EPBGNNHA_00112	gene	840	metQ_2			
EPBGNNHA_00112	CDS	840	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
EPBGNNHA_00113	gene	1224	abgB			
EPBGNNHA_00113	CDS	1224	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
EPBGNNHA_00114	gene	1419	nhaC_1			
EPBGNNHA_00114	CDS	1419	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
EPBGNNHA_00115	gene	444				
EPBGNNHA_00115	CDS	444				hypothetical protein
EPBGNNHA_00116	gene	1341	yvbW			
EPBGNNHA_00116	CDS	1341	yvbW		COG1113	putative amino acid permease YvbW
EPBGNNHA_00117	gene	897				
EPBGNNHA_00117	CDS	897				hypothetical protein
EPBGNNHA_00118	gene	942	panE			
EPBGNNHA_00118	CDS	942	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EPBGNNHA_00119	gene	1122	garK			
EPBGNNHA_00119	CDS	1122	garK	2.7.1.165	COG1929	Glycerate 2-kinase
EPBGNNHA_00120	gene	1503	eat(A)			
EPBGNNHA_00120	CDS	1503	eat(A)			ABC-F type ribosomal protection protein Eat(A)
EPBGNNHA_00121	gene	528	pspB			
EPBGNNHA_00121	CDS	528	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
EPBGNNHA_00122	gene	1062				
EPBGNNHA_00122	CDS	1062				hypothetical protein
EPBGNNHA_00123	gene	897	murQ			
EPBGNNHA_00123	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
EPBGNNHA_00124	gene	1983				
EPBGNNHA_00124	CDS	1983				hypothetical protein
EPBGNNHA_00125	gene	447				
EPBGNNHA_00125	CDS	447			COG1780	Putative NrdI-like protein
EPBGNNHA_00126	gene	1425	arcD1_2			
EPBGNNHA_00126	CDS	1425	arcD1_2		COG0531	Arginine/ornithine antiporter ArcD1
EPBGNNHA_00127	gene	774				
EPBGNNHA_00127	CDS	774				hypothetical protein
EPBGNNHA_00128	gene	906	bcrA_1			
EPBGNNHA_00128	CDS	906	bcrA_1			Bacitracin transport ATP-binding protein BcrA
EPBGNNHA_00129	gene	321	gdx			
EPBGNNHA_00129	CDS	321	gdx		COG2076	Guanidinium exporter
EPBGNNHA_00130	gene	687				
EPBGNNHA_00130	CDS	687				hypothetical protein
EPBGNNHA_00131	gene	945				
EPBGNNHA_00131	CDS	945				hypothetical protein
EPBGNNHA_00132	gene	645	pcp			
EPBGNNHA_00132	CDS	645	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
EPBGNNHA_00133	gene	1278				
EPBGNNHA_00133	CDS	1278				hypothetical protein
EPBGNNHA_00134	gene	750	pnuC			
EPBGNNHA_00134	CDS	750	pnuC		COG3201	Nicotinamide riboside transporter PnuC
EPBGNNHA_00135	gene	381				
EPBGNNHA_00135	CDS	381				hypothetical protein
EPBGNNHA_00136	gene	510				
EPBGNNHA_00136	CDS	510				hypothetical protein
EPBGNNHA_00137	gene	180				
EPBGNNHA_00137	CDS	180				hypothetical protein
EPBGNNHA_00138	gene	564				
EPBGNNHA_00138	CDS	564				hypothetical protein
EPBGNNHA_00139	gene	516				
EPBGNNHA_00139	CDS	516				hypothetical protein
EPBGNNHA_00140	gene	870	ywpJ_1			
EPBGNNHA_00140	CDS	870	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
EPBGNNHA_00141	gene	681	ung			
EPBGNNHA_00141	CDS	681	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
EPBGNNHA_00142	gene	981	pta			
EPBGNNHA_00142	CDS	981	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EPBGNNHA_00143	gene	474	tsaE			
EPBGNNHA_00143	CDS	474	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
EPBGNNHA_00144	gene	525				
EPBGNNHA_00144	CDS	525				hypothetical protein
EPBGNNHA_00145	gene	534	polC_1			
EPBGNNHA_00145	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
EPBGNNHA_00146	gene	753	exoA			
EPBGNNHA_00146	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
EPBGNNHA_00147	gene	921	yceM			
EPBGNNHA_00147	CDS	921	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
EPBGNNHA_00148	gene	936	murB			
EPBGNNHA_00148	CDS	936	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
EPBGNNHA_00149	gene	1479				
EPBGNNHA_00149	CDS	1479				hypothetical protein
EPBGNNHA_00150	gene	2061				
EPBGNNHA_00150	CDS	2061				hypothetical protein
EPBGNNHA_00151	gene	570				
EPBGNNHA_00151	CDS	570				hypothetical protein
EPBGNNHA_00152	gene	807				
EPBGNNHA_00152	CDS	807				hypothetical protein
EPBGNNHA_00153	gene	1515				
EPBGNNHA_00153	CDS	1515		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
EPBGNNHA_00154	gene	984				
EPBGNNHA_00154	CDS	984		1.3.1.103		2-haloacrylate reductase
EPBGNNHA_00155	gene	648	yhfK			
EPBGNNHA_00155	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
EPBGNNHA_00156	gene	633	panT_1			
EPBGNNHA_00156	CDS	633	panT_1		COG4684	Pantothenic acid transporter PanT
EPBGNNHA_00157	gene	552	coaBC_1			
EPBGNNHA_00157	CDS	552	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
EPBGNNHA_00158	gene	738	coaBC_2			
EPBGNNHA_00158	CDS	738	coaBC_2	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
EPBGNNHA_00159	gene	990	acuI			
EPBGNNHA_00159	CDS	990	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
EPBGNNHA_00160	gene	543				
EPBGNNHA_00160	CDS	543				hypothetical protein
EPBGNNHA_00161	gene	1086	potA			
EPBGNNHA_00161	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
EPBGNNHA_00162	gene	807	potB			
EPBGNNHA_00162	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
EPBGNNHA_00163	gene	828	ydcV			
EPBGNNHA_00163	CDS	828	ydcV			Inner membrane ABC transporter permease protein YdcV
EPBGNNHA_00164	gene	1074	potD			
EPBGNNHA_00164	CDS	1074	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
EPBGNNHA_00165	gene	2619	dgaR_1			
EPBGNNHA_00165	CDS	2619	dgaR_1			Transcriptional regulatory protein DagR
EPBGNNHA_00166	gene	423				
EPBGNNHA_00166	CDS	423				hypothetical protein
EPBGNNHA_00167	gene	495				
EPBGNNHA_00167	CDS	495		2.7.1.-		putative phosphotransferase enzyme IIB component
EPBGNNHA_00168	gene	810				
EPBGNNHA_00168	CDS	810				hypothetical protein
EPBGNNHA_00169	gene	822	manZ_1			
EPBGNNHA_00169	CDS	822	manZ_1		COG3716	PTS system mannose-specific EIID component
EPBGNNHA_00170	gene	2100				
EPBGNNHA_00170	CDS	2100				hypothetical protein
EPBGNNHA_00171	gene	1119				
EPBGNNHA_00171	CDS	1119				hypothetical protein
EPBGNNHA_00172	gene	879	gmuE_1			
EPBGNNHA_00172	CDS	879	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
EPBGNNHA_00173	gene	813				
EPBGNNHA_00173	CDS	813				hypothetical protein
EPBGNNHA_00174	gene	108				
EPBGNNHA_00174	CDS	108				hypothetical protein
EPBGNNHA_00175	gene	1068				
EPBGNNHA_00175	CDS	1068				hypothetical protein
EPBGNNHA_00176	gene	204				
EPBGNNHA_00176	CDS	204				hypothetical protein
EPBGNNHA_00177	gene	1203	xerC_2			
EPBGNNHA_00177	CDS	1203	xerC_2			Tyrosine recombinase XerC
EPBGNNHA_00178	gene	1131	metE			
EPBGNNHA_00178	CDS	1131	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
EPBGNNHA_00179	gene	954				
EPBGNNHA_00179	CDS	954			COG2826	IS30 family transposase IS1252
EPBGNNHA_00180	gene	393	glnR			
EPBGNNHA_00180	CDS	393	glnR		COG0789	HTH-type transcriptional regulator GlnR
EPBGNNHA_00181	gene	1341	glnA			
EPBGNNHA_00181	CDS	1341	glnA	6.3.1.2		Glutamine synthetase
EPBGNNHA_00182	gene	246				
EPBGNNHA_00182	CDS	246				hypothetical protein
EPBGNNHA_00183	gene	1611	pyrG			
EPBGNNHA_00183	CDS	1611	pyrG	6.3.4.2	COG0504	CTP synthase
EPBGNNHA_00184	gene	870	fba			
EPBGNNHA_00184	CDS	870	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
EPBGNNHA_00185	gene	1272	murA1_1			
EPBGNNHA_00185	CDS	1272	murA1_1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EPBGNNHA_00186	gene	1296	rho			
EPBGNNHA_00186	CDS	1296	rho	3.6.4.-	COG1158	Transcription termination factor Rho
EPBGNNHA_00187	gene	264	rpmE2			
EPBGNNHA_00187	CDS	264	rpmE2		COG0254	50S ribosomal protein L31 type B
EPBGNNHA_00188	gene	450	fruA_2			
EPBGNNHA_00188	CDS	450	fruA_2		COG1299	PTS system fructose-specific EIIABC component
EPBGNNHA_00189	gene	1419	fruA_3			
EPBGNNHA_00189	CDS	1419	fruA_3		COG1299	PTS system fructose-specific EIIABC component
EPBGNNHA_00190	gene	861	kbaY			
EPBGNNHA_00190	CDS	861	kbaY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
EPBGNNHA_00191	gene	738	ydjF			
EPBGNNHA_00191	CDS	738	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
EPBGNNHA_00192	gene	366				
EPBGNNHA_00192	CDS	366				hypothetical protein
EPBGNNHA_00193	gene	1209	yfcJ			
EPBGNNHA_00193	CDS	1209	yfcJ			putative MFS-type transporter YfcJ
EPBGNNHA_00194	gene	279				
EPBGNNHA_00194	CDS	279				hypothetical protein
EPBGNNHA_00195	gene	696	larR			
EPBGNNHA_00195	CDS	696	larR		COG0664	Lactate racemization regulatory protein
EPBGNNHA_00196	gene	798				
EPBGNNHA_00196	CDS	798				hypothetical protein
EPBGNNHA_00197	gene	1185				
EPBGNNHA_00197	CDS	1185				hypothetical protein
EPBGNNHA_00198	gene	1248				
EPBGNNHA_00198	CDS	1248				hypothetical protein
EPBGNNHA_00199	gene	1746				
EPBGNNHA_00199	CDS	1746				hypothetical protein
EPBGNNHA_00200	gene	315				
EPBGNNHA_00200	CDS	315			COG0718	Nucleoid-associated protein
EPBGNNHA_00201	gene	597	recR			
EPBGNNHA_00201	CDS	597	recR		COG0353	Recombination protein RecR
EPBGNNHA_00202	gene	645	tmk			
EPBGNNHA_00202	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
EPBGNNHA_00203	gene	330	darA			
EPBGNNHA_00203	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
EPBGNNHA_00204	gene	939				
EPBGNNHA_00204	CDS	939				hypothetical protein
EPBGNNHA_00205	gene	825				
EPBGNNHA_00205	CDS	825				hypothetical protein
EPBGNNHA_00206	gene	348	yabA			
EPBGNNHA_00206	CDS	348	yabA		COG4467	Initiation-control protein YabA
EPBGNNHA_00207	gene	873	rsmI			
EPBGNNHA_00207	CDS	873	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
EPBGNNHA_00208	gene	1122	dinB			
EPBGNNHA_00208	CDS	1122	dinB	2.7.7.7	COG0389	DNA polymerase IV
EPBGNNHA_00209	gene	603				
EPBGNNHA_00209	CDS	603				hypothetical protein
EPBGNNHA_00210	gene	2190	nrdD			
EPBGNNHA_00210	CDS	2190	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
EPBGNNHA_00211	gene	768	bceA_1			
EPBGNNHA_00211	CDS	768	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
EPBGNNHA_00212	gene	2043	bceB_1			
EPBGNNHA_00212	CDS	2043	bceB_1		COG0577	Bacitracin export permease protein BceB
EPBGNNHA_00213	gene	150				
EPBGNNHA_00213	CDS	150				hypothetical protein
EPBGNNHA_00214	gene	1515	dltA			
EPBGNNHA_00214	CDS	1515	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
EPBGNNHA_00215	gene	1206				
EPBGNNHA_00215	CDS	1206				hypothetical protein
EPBGNNHA_00216	gene	234	dltC			
EPBGNNHA_00216	CDS	234	dltC		COG0236	D-alanyl carrier protein
EPBGNNHA_00217	gene	1269	dltD			
EPBGNNHA_00217	CDS	1269	dltD		COG3966	Protein DltD
EPBGNNHA_00218	gene	1083	ysdC			
EPBGNNHA_00218	CDS	1083	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
EPBGNNHA_00219	gene	804				
EPBGNNHA_00219	CDS	804				hypothetical protein
EPBGNNHA_00220	gene	741				
EPBGNNHA_00220	CDS	741			COG1234	putative protein
EPBGNNHA_00221	gene	1005	lplJ			
EPBGNNHA_00221	CDS	1005	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
EPBGNNHA_00222	gene	1845				
EPBGNNHA_00222	CDS	1845				hypothetical protein
EPBGNNHA_00223	gene	390				
EPBGNNHA_00223	CDS	390				hypothetical protein
EPBGNNHA_00224	gene	684	trmR			
EPBGNNHA_00224	CDS	684	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
EPBGNNHA_00225	gene	75				
EPBGNNHA_00225	tRNA	75				tRNA-Arg(tct)
EPBGNNHA_00226	gene	360				
EPBGNNHA_00226	CDS	360				hypothetical protein
EPBGNNHA_00227	gene	1632	dauA			
EPBGNNHA_00227	CDS	1632	dauA		COG0659	C4-dicarboxylic acid transporter DauA
EPBGNNHA_00228	gene	642	udg			
EPBGNNHA_00228	CDS	642	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
EPBGNNHA_00229	gene	309	rplU			
EPBGNNHA_00229	CDS	309	rplU		COG0261	50S ribosomal protein L21
EPBGNNHA_00230	gene	345				
EPBGNNHA_00230	CDS	345				hypothetical protein
EPBGNNHA_00231	gene	294	rpmA			
EPBGNNHA_00231	CDS	294	rpmA			50S ribosomal protein L27
EPBGNNHA_00232	gene	2835	dgaR_2			
EPBGNNHA_00232	CDS	2835	dgaR_2			Transcriptional regulatory protein DagR
EPBGNNHA_00233	gene	492	manX_1			
EPBGNNHA_00233	CDS	492	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
EPBGNNHA_00234	gene	990	manX_2			
EPBGNNHA_00234	CDS	990	manX_2	2.7.1.191		PTS system mannose-specific EIIAB component
EPBGNNHA_00235	gene	804	sorA_1			
EPBGNNHA_00235	CDS	804	sorA_1		COG3715	PTS system sorbose-specific EIIC component
EPBGNNHA_00236	gene	915	manZ_2			
EPBGNNHA_00236	CDS	915	manZ_2		COG3716	PTS system mannose-specific EIID component
EPBGNNHA_00237	gene	375				
EPBGNNHA_00237	CDS	375				hypothetical protein
EPBGNNHA_00238	gene	246				
EPBGNNHA_00238	CDS	246				hypothetical protein
